type,gid,geom_o,geom_err,ident,nom,etat,nbplaces,nbvelos,nbelec,nbclassiq,insee,cdate,mdate,longitude,latitude
VLS,100,0,,110,Forum,CONNECTEE,19,21,11,10,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5910299,44.8123799
VLS,101,0,,111,Peixotto,CONNECTEE,8,32,16,16,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5924499,44.8068099
VLS,102,0,,112,Arts et Metiers,CONNECTEE,12,25,13,12,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6023199,44.8059099
VLS,103,0,,113,Ecole de Management,CONNECTEE,15,5,2,3,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60187,44.7968799
VLS,104,0,,114,Compostelle,CONNECTEE,21,6,3,3,33192,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60547,44.7931299
VLS,105,0,,115,CREPS ,CONNECTEE,18,12,3,9,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5971532,44.8013759
VLS,106,0,,116,Montaigne Montesquieu,CONNECTEE,24,16,6,10,33318,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6170399,44.7966699
VLS,107,0,,117,Doyen Brus,CONNECTEE,8,11,5,6,33318,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60986,44.8003799
VLS,108,0,,118,Place Ravezies,CONNECTEE,10,9,5,4,33069,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57608,44.8669399
VLS,109,0,,119,Grand Parc,CONNECTEE,14,6,4,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5757599,44.8625999
VLS,110,0,,120,St Louis Haussmann,CONNECTEE,22,8,4,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5671799,44.8626099
VLS,111,0,,121,Place St Martial,CONNECTEE,7,7,3,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56584,44.8589099
VLS,112,0,,122,Cours St Louis Medoc,CONNECTEE,10,6,3,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5696599,44.8584899
VLS,113,0,,123,Porte de Bourgogne,CONNECTEE,15,21,10,11,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56716,44.8377899
VLS,114,0,,124,Parc des Sports,CONNECTEE,14,6,1,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5627099,44.8338699
VLS,115,0,,125,Conservatoire,CONNECTEE,14,16,8,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.55966,44.8318299
VLS,116,0,,126,Quai de Paludate,CONNECTEE,6,6,2,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5498299,44.8266999
VLS,117,0,,127,Gare St Jean,CONNECTEE,18,4,1,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5570699,44.8262999
VLS,118,0,,128,Sacre Coeur,CONNECTEE,7,9,3,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56308,44.8221799
VLS,119,0,,129,Barriere de Begles,CONNECTEE,10,6,4,2,33039,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5642,44.8130799
VLS,120,0,,130,Barriere de Toulouse,CONNECTEE,15,4,1,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5705889,44.8144759
VLS,121,0,,131,Nansouty,CONNECTEE,9,8,5,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.572205,44.8202579
VLS,122,0,,132,Cours de la Somme,CONNECTEE,11,2,1,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57248,44.8262799
VLS,123,0,,133,Capucins,CONNECTEE,1,19,11,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5681199,44.8299499
VLS,124,0,,134,Place du Maucaillou,CONNECTEE,11,9,2,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5670693,44.832436
VLS,125,0,,135,Place St Michel,CONNECTEE,13,6,4,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.564732,44.8347969
VLS,126,0,,136,Eglise Ste Croix,CONNECTEE,12,6,3,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56139,44.8313099
VLS,127,0,,137,Place Andre Meunier,CONNECTEE,15,8,3,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.562299,44.8283269
